timestamp,key,time_diff
1772018799.578182,Key.media_next,41.4014
1772018849.7520924,Key.media_next,50.1739
1772018853.1282847,Key.media_next,3.3762
1772018953.094451,Key.up,99.9662
1772018973.1592813,h,20.0648
1772018973.1718173,j,0.0125
1772018973.32332,j,0.1515
1772018973.3339622,h,0.0106
1772018973.4456437,j,0.1117
1772018973.5762842,h,0.1306
1772018973.6482549,j,0.072
1772018973.9213133,h,0.2731
1772018974.436352,h,0.515
1772018974.7407036,j,0.3044
1772018974.7604713,h,0.0198
1772018974.9394252,h,0.179
1772018975.727134,Key.esc,0.7877
