timestamp,P_keystroke,P_face,P_total,is_frustrated,intervention_triggered
2026-03-23 21:41:36,0.0000,0.0000,0.0000,0,0
2026-03-23 21:41:37,0.0000,0.0000,0.0000,0,0
2026-03-23 21:41:38,0.0000,0.0000,0.0000,0,0
2026-03-23 21:41:39,0.0000,0.0000,0.0000,0,0
2026-03-23 21:41:40,0.0000,0.0000,0.0000,0,0
2026-03-23 21:41:41,0.0000,0.3817,0.1336,0,0
2026-03-23 21:41:42,0.0000,0.2898,0.1014,0,0
2026-03-23 21:41:43,0.0000,0.2458,0.0860,0,0
2026-03-23 21:41:44,0.0000,0.2284,0.0799,0,0
2026-03-23 21:41:45,0.0000,0.2030,0.0711,0,0
2026-03-23 21:41:46,0.0000,0.2014,0.0705,0,0
2026-03-23 21:41:47,0.0000,0.1738,0.0608,0,0
2026-03-23 21:41:48,0.0000,0.1207,0.0423,0,0
2026-03-23 21:41:49,0.0000,0.0950,0.0332,0,0
2026-03-23 21:41:50,0.0000,0.0895,0.0313,0,0
2026-03-23 21:41:51,0.0000,0.0928,0.0325,0,0
2026-03-23 21:41:52,0.0000,0.1070,0.0374,0,0
2026-03-23 21:41:53,0.0000,0.1080,0.0378,0,0
2026-03-23 21:41:54,0.0000,0.1335,0.0467,0,0
2026-03-23 21:41:55,0.0000,0.1587,0.0555,0,0
2026-03-23 21:41:56,0.0000,0.1842,0.0645,0,0
2026-03-23 21:41:57,0.0000,0.1935,0.0677,0,0
2026-03-23 21:41:59,0.9029,0.1934,0.6546,1,1
2026-03-23 21:42:00,0.7260,0.1928,0.5394,0,0
2026-03-23 21:42:01,0.1403,0.1921,0.1584,0,0
2026-03-23 21:42:02,0.2629,0.1937,0.2387,0,0
2026-03-23 21:42:03,0.0756,0.1950,0.1174,0,0
2026-03-23 21:42:04,0.0756,0.1955,0.1175,0,0
2026-03-23 21:42:05,0.1789,0.1882,0.1822,0,0
2026-03-23 21:42:06,0.9458,0.1880,0.6805,1,0
2026-03-23 21:42:07,0.9488,0.1863,0.6819,1,0
2026-03-23 21:42:08,0.9949,0.1588,0.7023,1,0
2026-03-23 21:42:09,0.9895,0.1473,0.6947,1,0
2026-03-23 21:42:10,0.1991,0.1197,0.1713,0,0
2026-03-23 21:42:11,0.0781,0.0914,0.0828,0,0
2026-03-23 21:42:12,0.0781,0.0724,0.0761,0,0
2026-03-23 21:42:13,0.0781,0.0445,0.0664,0,0
2026-03-23 21:42:14,0.0781,0.0205,0.0579,0,0
2026-03-23 21:42:15,0.0781,0.0225,0.0586,0,0
2026-03-23 21:42:16,0.0781,0.0072,0.0533,0,0
2026-03-23 21:42:17,0.0781,0.0100,0.0543,0,0
2026-03-23 21:42:18,0.0781,0.0137,0.0556,0,0
2026-03-23 21:42:19,0.0781,0.0172,0.0568,0,0
2026-03-23 21:42:20,0.0781,0.0225,0.0586,0,0
2026-03-23 21:42:21,0.0781,0.0491,0.0680,0,0
2026-03-23 21:42:22,0.0781,0.0729,0.0763,0,0
2026-03-23 21:42:23,0.0781,0.1000,0.0858,0,0
2026-03-23 21:42:24,0.0781,0.1385,0.0993,0,0
2026-03-23 21:42:25,0.0781,0.1402,0.0999,0,0
2026-03-23 21:42:26,0.0781,0.1379,0.0990,0,0
2026-03-23 21:42:28,0.0781,0.1428,0.1008,0,0
2026-03-23 21:42:29,0.0781,0.1407,0.1000,0,0
2026-03-23 21:42:30,0.0781,0.1301,0.0963,0,0
2026-03-23 21:42:31,0.0781,0.1237,0.0941,0,0
